,Trainsize,Devsize,Lr,Hidden,steps,batchsize,anneal,Accuracy,acc0,acc1,acc2,acc3,acc4,acc5,acc6,acc7,acc8,acc9,acc10,,,,
0,40000,1000,0.25,50,3,25,5,0.619039449,0.587243987,0.777726653,0.640917752,0.558217643,0.613927359,0.597066982,0.516218251,0.688132308,0.638028041,0.414706489,0.727826734,,,,
0,40000,1000,0.25,50,4,25,5,0.618907739,0.586887661,0.777205961,0.640736986,0.558269853,0.61339213,0.59729326,0.516332439,0.688221793,0.638187826,0.414111135,0.727848821,,,,
0,40000,1000,0.25,50,5,25,5,0.618902063,0.587057074,0.777028442,0.640696395,0.558243316,0.613403651,0.59728202,0.516341781,0.688252889,0.638184668,0.414058194,0.727868402,,,,
0,40000,1000,0.25,50,6,25,5,0.618908179,0.587066025,0.777056858,0.640708446,0.558246111,0.613389382,0.597291913,0.516354155,0.688258765,0.638167646,0.414077691,0.727855547,,,,
,,,,,,,,,,,,,,,,,,,,,,,
0,40000,1000,0.25,50,0,25,5,0.615966956,0.581497822,0.63135227,0.669291895,0.605525483,0.60795989,0.605186589,0.548732357,0.661374672,0.655749795,0.507486084,0.713064016,,,,
0,40000,1000,0.25,50,1,25,5,0.620473893,0.579859091,0.692238999,0.659403964,0.586740421,0.632041586,0.595842358,0.538969592,0.67369855,0.675688346,0.470000831,0.696574705,,,,
0,40000,1000,0.25,50,2,25,5,0.621133602,0.582702562,0.688432666,0.659516794,0.589619561,0.632023698,0.596753467,0.541021298,0.672850751,0.677143386,0.477575407,0.691902547,,,,
0,40000,1000,0.25,50,3,25,5,0.621164476,0.582751476,0.688641827,0.659380466,0.589872798,0.63205238,0.596878476,0.54101967,0.67261801,0.67698269,0.477792014,0.691857826,,,,
0,40000,1000,0.25,50,4,25,5,0.6211882,0.58270198,0.688774662,0.65943598,0.589893288,0.632184802,0.596879677,0.540944229,0.672607302,0.677075615,0.477710447,0.691781713,,,,
0,40000,1000,0.25,50,5,25,5,0.621222237,0.582753957,0.688694827,0.659495872,0.589923901,0.632197765,0.59692583,0.541001002,0.672646898,0.677192549,0.477907697,0.691666979,,,,
0,40000,1000,0.25,50,6,25,5,0.621225008,0.582784243,0.688599912,0.659506036,0.589920301,0.632200641,0.596933865,0.541015775,0.672683002,0.677223901,0.477938205,0.69165968,,,,
___,,,,,,,,,,,,,,,,,,,,,,,
0,40000,1000,0.5,50,0,50,5,0.544931767,0.490099251,0.581459647,0.511105958,0.514058567,0.518333381,0.615099762,0.457706526,0.63230912,0.528806236,0.459334188,0.81328827,,,,
0,40000,1000,0.5,50,1,50,5,0.502069437,0.471745554,0.472488547,0.439282969,0.449505706,0.459339454,0.592508528,0.437009812,0.570611922,0.472725704,0.615303151,0.849339533,,,,
